has_college_degree,max_degree,age_group,has_high_income,is_urban,is_married,industry,has_credit_card,owns_home,has_invested_before,risk_tolerance,geographic_region,primary_language,gender,has_multiple_income_sources,digital_literacy,considered_successful
True,phd,55+,False,True,True,other,True,True,False,low,north,mandarin,female,True,medium,True
True,bachelor,55+,False,True,True,finance,True,True,False,low,east,spanish,male,False,medium,False
True,bachelor,26-35,True,True,False,education,False,True,True,high,east,english,other,True,high,True
True,bachelor,36-45,True,True,False,education,True,True,False,high,west,spanish,male,False,high,False
True,master,55+,False,False,False,finance,True,True,True,low,east,spanish,female,False,low,False
True,phd,36-45,False,True,True,finance,False,False,False,low,south,mandarin,female,True,high,False
True,bachelor,46-55,False,False,False,education,True,True,True,medium,south,spanish,female,False,high,False
True,master,26-35,False,True,False,finance,True,False,True,medium,east,mandarin,female,False,medium,True
True,bachelor,55+,False,False,True,education,False,False,False,low,east,english,female,True,medium,False
True,master,26-35,False,True,True,education,False,False,True,low,west,mandarin,male,False,medium,False
False,high_school,46-55,False,True,False,other,True,True,True,medium,south,english,male,False,low,False
False,high_school,26-35,False,False,True,tech,False,True,False,medium,south,mandarin,male,False,low,False
True,bachelor,36-45,False,True,True,education,True,False,False,low,north,other,male,False,low,False
False,high_school,46-55,False,True,True,healthcare,True,False,False,low,west,other,female,False,low,False
True,bachelor,36-45,False,False,True,tech,True,False,False,low,north,spanish,other,False,medium,False
False,high_school,55+,False,False,True,tech,False,True,False,medium,south,mandarin,male,False,medium,False
True,phd,26-35,False,True,False,tech,True,True,True,low,west,mandarin,other,False,low,False
True,bachelor,46-55,True,True,False,other,True,False,True,low,east,english,male,False,high,False
True,bachelor,26-35,False,True,True,education,True,False,True,medium,west,spanish,male,False,low,False
False,high_school,55+,False,False,False,other,True,False,False,low,east,mandarin,other,True,high,False
True,bachelor,46-55,False,True,False,education,True,False,False,medium,east,spanish,female,True,high,False
False,high_school,46-55,False,True,True,other,True,True,True,low,west,other,male,True,low,False
True,bachelor,36-45,True,True,True,other,True,False,True,low,east,mandarin,male,False,medium,False
True,master,46-55,True,True,True,healthcare,True,True,False,low,north,mandarin,male,True,low,False
True,bachelor,46-55,False,False,True,other,True,True,True,medium,south,spanish,other,False,medium,False
True,master,26-35,True,True,False,finance,True,False,False,high,east,mandarin,female,True,medium,True
True,phd,55+,False,False,False,healthcare,True,False,False,high,north,spanish,other,False,low,False
True,bachelor,26-35,False,True,True,other,True,True,False,low,east,mandarin,other,True,medium,False
True,bachelor,26-35,False,True,False,tech,False,True,True,medium,south,english,female,False,low,False
True,master,46-55,False,True,False,finance,True,False,False,low,north,spanish,other,False,low,False
False,high_school,55+,False,True,True,finance,True,True,False,low,south,mandarin,female,False,medium,False
False,high_school,55+,False,False,False,finance,True,False,False,high,south,other,male,False,medium,False
True,bachelor,18-25,False,False,False,healthcare,True,True,False,low,north,mandarin,female,True,medium,False
False,high_school,46-55,True,True,False,other,True,False,False,low,north,other,male,False,medium,False
False,high_school,55+,False,False,True,other,True,False,False,low,north,other,other,True,high,False
True,bachelor,18-25,False,True,False,tech,True,True,True,low,west,english,other,False,low,False
True,phd,18-25,False,False,False,tech,True,True,False,low,north,spanish,male,True,medium,True
True,bachelor,36-45,False,True,False,finance,True,True,False,medium,north,mandarin,other,False,medium,False
True,master,36-45,False,True,False,tech,True,True,True,medium,north,english,female,False,medium,False
True,phd,36-45,False,True,False,healthcare,True,False,False,high,north,mandarin,male,True,high,False
True,phd,26-35,False,True,False,other,True,True,False,high,east,other,other,True,high,False
True,bachelor,18-25,False,True,False,finance,True,False,False,low,west,spanish,male,True,medium,False
False,high_school,26-35,False,True,False,tech,True,True,True,low,south,mandarin,female,False,high,False
True,bachelor,55+,True,True,True,healthcare,True,False,True,low,north,mandarin,female,False,high,False
True,master,36-45,False,True,True,healthcare,True,False,False,medium,east,other,other,True,high,False
False,high_school,36-45,False,False,True,tech,False,False,False,low,east,mandarin,female,False,high,False
True,bachelor,36-45,False,True,False,other,True,False,True,medium,east,mandarin,male,True,high,False
False,high_school,26-35,True,True,True,tech,True,False,False,medium,south,other,female,False,low,False
True,bachelor,36-45,False,False,False,finance,False,True,False,medium,north,english,male,True,low,False
True,master,26-35,False,False,True,tech,False,False,False,medium,west,other,male,True,medium,False
True,master,18-25,True,True,False,healthcare,True,False,False,low,west,english,female,True,low,False
True,bachelor,46-55,False,True,False,tech,True,False,True,high,east,spanish,other,False,medium,False
False,high_school,55+,False,False,False,other,False,True,True,medium,south,english,female,False,low,False
True,phd,55+,False,True,True,education,False,False,True,low,south,english,male,False,medium,False
True,phd,36-45,False,False,False,tech,True,False,False,high,south,spanish,male,True,high,True
False,high_school,46-55,False,False,False,other,True,True,True,medium,west,english,female,False,high,False
True,bachelor,55+,False,True,True,other,True,True,True,high,east,other,other,False,low,False
True,phd,55+,False,True,False,healthcare,True,False,True,medium,north,english,other,True,medium,False
True,bachelor,46-55,True,False,True,other,True,False,False,medium,west,spanish,male,False,high,False
True,bachelor,46-55,False,True,True,other,True,False,False,low,east,other,male,False,low,False
False,high_school,36-45,True,True,False,other,True,True,True,low,east,spanish,other,True,high,True
True,master,46-55,True,False,True,other,False,False,True,medium,north,spanish,female,False,medium,True
True,master,18-25,False,False,True,finance,True,True,False,medium,north,mandarin,male,False,medium,False
True,master,36-45,False,False,True,finance,True,True,True,low,north,mandarin,male,False,high,False
True,bachelor,46-55,False,False,True,healthcare,False,True,True,low,south,spanish,other,True,low,False
True,master,36-45,False,False,True,tech,False,False,True,high,north,spanish,female,True,medium,True
False,high_school,18-25,False,False,False,other,True,False,True,high,east,spanish,other,False,high,False
True,bachelor,18-25,True,False,False,tech,True,False,True,medium,north,mandarin,female,False,low,True
False,high_school,46-55,True,False,False,tech,True,True,True,low,east,mandarin,female,False,medium,False
True,bachelor,36-45,False,True,False,healthcare,True,False,True,low,west,english,female,False,high,False
True,bachelor,18-25,False,True,False,other,True,True,False,low,south,english,male,False,low,False
False,high_school,18-25,True,False,False,other,True,False,True,high,west,spanish,other,False,high,False
True,bachelor,46-55,True,False,True,education,True,False,False,low,west,other,other,False,medium,False
False,high_school,26-35,False,False,True,tech,True,True,False,medium,east,other,female,True,medium,False
True,phd,55+,False,False,True,tech,True,False,True,low,west,mandarin,male,False,medium,False
True,bachelor,18-25,True,False,True,finance,True,True,False,medium,east,mandarin,male,False,low,False
True,bachelor,26-35,False,True,False,education,True,False,True,medium,north,mandarin,other,False,high,False
True,bachelor,55+,False,True,True,finance,True,False,False,high,north,spanish,male,True,high,False
True,bachelor,18-25,True,True,False,finance,True,True,True,low,east,other,male,True,medium,False
True,bachelor,26-35,False,True,False,finance,False,False,True,low,north,english,female,True,high,False
True,master,26-35,True,True,False,healthcare,True,True,True,low,south,spanish,male,False,medium,False
True,master,46-55,False,False,True,healthcare,True,False,False,high,west,english,female,False,medium,False
True,master,36-45,True,True,True,finance,False,False,False,high,south,english,other,True,medium,True
False,high_school,55+,True,False,False,education,True,False,False,medium,west,spanish,male,False,medium,False
True,master,36-45,False,True,False,tech,True,True,True,medium,north,english,other,False,medium,False
True,bachelor,18-25,True,False,True,education,True,False,False,medium,south,other,other,False,high,True
True,master,36-45,True,True,False,other,True,False,True,low,north,english,male,True,medium,True
True,bachelor,55+,False,True,True,healthcare,False,True,False,high,west,other,male,False,low,False
True,phd,46-55,True,True,True,tech,True,True,True,medium,east,other,other,False,low,False
True,bachelor,36-45,False,False,True,tech,True,False,True,low,east,other,male,True,medium,False
True,master,36-45,True,True,True,other,True,False,True,medium,south,mandarin,female,True,high,True
True,phd,46-55,False,False,False,other,True,False,True,low,north,english,female,False,medium,False
False,high_school,26-35,False,True,False,finance,True,False,False,low,north,spanish,male,False,medium,False
True,bachelor,36-45,False,True,True,healthcare,True,False,True,medium,south,spanish,other,True,medium,False
False,high_school,18-25,False,False,False,healthcare,True,True,False,low,east,english,male,False,medium,False
False,high_school,26-35,True,True,False,education,False,True,True,medium,west,mandarin,male,False,medium,False
True,bachelor,46-55,False,True,False,finance,True,True,False,low,south,mandarin,other,False,medium,False
False,high_school,18-25,False,True,True,finance,True,False,True,low,west,other,other,False,high,False
False,high_school,18-25,False,True,True,finance,True,True,True,low,east,english,female,False,high,False
False,high_school,46-55,True,False,True,finance,True,False,False,low,north,english,other,False,medium,False
